OBJECTID,STNAME,COUNT_LOCATION,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID
1,RENTON AVE S,"RENTON AVE S, N/O S CLOVERDALE ST",2014,12522,9800,315994
2,AIRPORT WAY S,"AIRPORT WAY S, N/O S NORFOLK ST",2014,8702,12300,316688
3,N 65TH ST,"N 65TH ST, W/O LINDEN AVE N",2014,15794,7800,314379
4,2ND AVE,"2ND AVE, NW/O LENORA ST",2014,2762,11900,313796
5,LAKE CITY WAY NE,"LAKE CITY WAY NE, S/O NE 145TH ST",2014,11190,40900,316269
6,JAMES ST,"JAMES ST, NE/O 7TH AVE",2014,11055,21100,316562
7,GREENWOOD AVE N,"GREENWOOD AVE N, S/O N 145TH ST",2014,10795,21800,315172
8,RENTON AVE S,"RENTON AVE S, SE/O S HENDERSON ST",2014,12525,7200,315996
9,4TH AVE,"4TH AVE, NW/O LENORA ST",2014,6138,14100,315087
10,DELRIDGE WAY SW,"DELRIDGE WAY SW, NW/O SW CAMBRIDGE ST",2014,9992,11900,315106
11,1ST AVE S,"1ST AVE S, S/O S LUCILE ST",2014,1221,21000,315986
12,N 130TH ST,"N 130TH ST, W/O ASHWORTH AVE N",2014,15163,21900,316582
13,34TH AVE W,"34TH AVE W, N/O W BARRETT ST",2014,5324,4800,314216
14,NE 55TH ST,"NE 55TH ST, E/O 35TH AVE NE",2014,17051,9100,315207
15,3RD AVE NW,"3RD AVE NW, S/O NW 80TH ST",2014,4471,8900,314623
16,30TH AVE NE,"30TH AVE NE, S/O NE 145TH ST",2014,4641,6200,316252
17,RAINIER AVE S,"RAINIER AVE S, NW/O S HOLLY ST",2014,12402,21600,316498
18,AURORA AVE N,"AURORA AVE N, S/O N 145TH ST",2014,9001,34900,316698
19,25TH AVE NE,"25TH AVE NE, S/O NE 75TH ST",2014,3731,11600,315071
20,E PINE ST,"E PINE ST, W/O BROADWAY",2014,14633,14400,316384
21,3RD AVE,"3RD AVE, NW/O LENORA ST",2014,4388,7000,316691
22,NE 75TH ST,"NE 75TH ST, W/O ROOSEVELT WAY NE",2014,17506,22500,315216
23,35TH AVE NE,"35TH AVE NE, N/O NE 75TH ST",2014,5363,12900,315073
24,25TH AVE NE,"25TH AVE NE, S/O NE 47TH ST",2014,3720,20100,315069
25,5TH AVE,"5TH AVE, NW/O LENORA ST",2014,7244,13600,316683
26,6TH AVE,"6TH AVE, SE/O PIKE ST",2014,7882,14700,316685
27,12TH AVE,"12TH AVE, N/O E YESLER WAY",2014,1523,13700,316563
28,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, S/O SW ALASKA ST",2014,10387,17400,315164
29,STONE WAY N,"STONE WAY N, S/O N 45TH ST",2014,12968,15100,316571
30,E PIKE ST,"E PIKE ST, W/O BROADWAY",2014,14599,12400,316186
31,NW 85TH ST,"NW 85TH ST, W/O 16TH AVE NW",2014,18971,14700,315976
32,SENECA ST OFF RP,"SENECA ST OFF RP, NE/O ALASKAN WY VI NB",2014,12786,7800,313369
33,MYERS WAY S,"MYERS WAY S, S/O OLSON PL SW",2014,11941,5700,315182
34,CORSON AVE S,"CORSON AVE S, S/O S MICHIGAN ST",2014,9833,6500,316592
35,WESTERN AVE,"WESTERN & ELLIOTT AVE, NW/O LENORA ST",2014,13507,8500,315328
36,PINEHURST WAY NE,"PINEHURST WAY NE, NE/O NE 115TH ST",2014,12231,8400,316396
37,GREENWOOD AVE N,"GREENWOOD AVE N, N/O N 107TH ST",2014,10775,27800,315168
38,15TH AVE NE,"15TH AVE NE, S/O NE 145TH ST",2014,2096,15600,315061
39,35TH AVE SW,"35TH AVE SW, S/O SW MORGAN ST",2014,5462,21300,316642
40,SW ROXBURY ST,"SW ROXBURY ST, E/O 26TH AVE SW",2014,22771,23000,316644
41,SW MORGAN ST,"SW MORGAN ST, W/O 35TH AVE SW",2014,22592,7700,314749
42,SW AVALON WAY,"SW AVALON WAY, N/O 30TH AVE SW",2014,21818,13200,316413
43,E ALOHA ST,"E ALOHA ST, E/O 10TH AVE E",2014,13812,10600,314428
44,CORSON AVE S,"CORSON AVE S, N/O S MICHIGAN ST",2014,9832,27600,315102
45,32ND AVE NW,"32ND AVE NW, S/O NW 80TH ST",2014,5001,4700,316681
46,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O SW CHARLESTOWN ST",2014,9548,13900,316265
47,M L KING JR WAY,"M L KING JR WAY, N/O E YESLER WAY",2014,11481,15100,315942
48,RENTON AVE S,"RENTON AVE S, SE/O S BANGOR ST",2014,12545,11100,316273
49,15TH AVE W,"15TH AVE W, N/O W ARMORY WAY",2014,2188,40900,316487
50,PHINNEY AVE N,"PHINNEY AVE N, S/O N 65TH ST",2014,12159,11200,315972
51,NE 125TH ST,"NE 125TH ST, E/O 35TH AVE NE",2014,16504,12800,315912
52,15TH AVE NE,"15TH AVE NE, S/O NE NORTHGATE WAY",2014,2078,8700,315958
53,3RD AVE,"3RD AVE, SE/O PIKE ST",2014,4383,8000,316249
54,WEST MARGINAL WAY SW,"WEST MARGINAL WAY SW, NW/O HIGHLAND PARK WAY SW",2014,23539,16400,315324
55,15TH AVE NE,"15TH AVE NE, S/O NE 75TH ST",2014,2054,10300,316239
56,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, SE/O NE 130TH N ST",2014,12667,20200,315288
57,23RD AVE,"23RD AVE, N/O E CHERRY ST",2014,3359,19200,315936
58,5TH AVE NE,"5TH AVE NE, S/O 145TH ST OFF RP",2014,7340,3900,316254
59,E CHERRY ST,"E CHERRY ST, W/O 26TH AVE",2014,13894,8400,315946
60,15TH AVE NW,"15TH AVE NW, S/O NW 80TH ST",2014,2117,30300,316241
61,E JOHN ST,"E JOHN ST, E/O BROADWAY E",2014,14243,15700,315948
62,7TH AVE,"7TH AVE, NW/O LENORA ST",2014,8164,3700,316693
63,8TH AVE SW,"8TH AVE SW, N/O SW ROXBURY ST",2014,8477,6600,313883
64,3RD AVE NW,"3RD AVE NW, S/O NW 145TH ST",2014,4513,9300,313835
65,16TH AVE SW,"16TH AVE SW, N/O SW CAMBRIDGE ST",2014,2349,4800,313863
66,OLSON PL SW,"OLSON PL SW, SW/O 1ST AVE S",2014,12052,31100,315280
67,BROADWAY,"BROADWAY, S/O E DENNY WAY",2014,9450,15300,316566
68,15TH AVE S,"15TH AVE S, S/O S BRADFORD ST",2014,2155,14100,316243
69,EAST MARGINAL WAY S,"EAST MARGINAL WAY S, NW/O S MICHIGAN ST",2014,14407,11900,315130
70,35TH AVE NE,"35TH AVE NE, S/O NE 75TH ST",2014,5362,13100,315075
71,W EMERSON PL,"W EMERSON PL, SE/O 21ST AVE W",2014,23271,21000,316417
72,BOREN AVE,"BOREN AVE, SE/O PIKE ST",2014,9318,20400,315938
73,SWIFT AVE S,"SWIFT AVE S, NW/O S ALBRO PL",2014,13038,7500,316278
74,1ST AVE S,"1ST AVE S, S/O S SPOKANE SR ST",2014,1214,17900,316233
75,1ST AVE,"1ST AVE, NW/O LENORA ST",2014,1013,13700,315065
76,8TH AVE,"8TH AVE, SE/O PIKE ST",2014,8279,4900,315095
77,AIRPORT WAY S,"AIRPORT WAY S, NW/O S LUCILE ST",2014,8689,17000,315870
78,NE 125TH ST,"NE 125TH ST, W/O 27TH AVE NE",2014,16496,16600,315203
79,RAINIER AVE S,"RAINIER AVE S, S/O S OTHELLO ST",2014,12409,22700,315816
80,S MYRTLE ST,"S MYRTLE ST, W/O BEACON WR AVE S",2014,20911,10900,316574
81,DENNY WAY,"DENNY WAY, E/O STEWART ST",2014,10023,23000,315119
82,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, N/O SW BARTON ST",2014,10420,11500,316000
83,GREENWOOD AVE N,"GREENWOOD AVE N, S/O HOLMAN RD N",2014,10764,12500,316446
84,BEACH DR SW,"BEACH DR SW, SE/O 61ST AVE SW",2014,9093,4000,316262
85,4TH AVE,"4TH AVE, SE/O PIKE ST",2014,6130,20600,314045
298,ALAKSAN WAY VI NB ON RP,,0,0,0,0
86,6TH AVE,"6TH AVE, NW/O LENORA ST",2014,7890,11200,316686
87,LAKE CITY WAY NE,"LAKE CITY WAY NE, SW/O NE 115TH ST",2014,11166,41500,315962
88,RAINIER AVE S,"RAINIER AVE S, E/O 75TH AVE S",2014,12439,19100,315920
89,N 145TH ST,"N 145TH ST, W/O LINDEN AVE N",2014,15264,16300,315186
90,5TH AVE NE,"5TH AVE NE, S/O NE NORTHGATE WAY",2014,7255,19500,315089
91,N 85TH ST,"N 85TH ST, W/O ASHWORTH AVE N",2014,15962,24500,315199
92,NE 80TH ST,"NE 80TH ST, E/O 5TH AVE NE",2014,17610,10300,316402
93,15TH AVE NE,"15TH AVE NE, S/O NE 65TH ST",2014,2047,11500,316237
94,NE 45TH ST,"NE 45TH ST, W/O NE 45TH PL",2014,288753,38000,316400
95,S GENESEE ST,"S GENESEE ST, E/O 38TH AVE S",2014,20097,11300,314412
96,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, N/O NE 50TH ST",2014,12601,10200,314524
97,N 40TH ST,"N 40TH ST, E/O STONE WAY N",2014,15416,10500,316589
98,4TH AVE S,"4TH AVE S, S/O SEATTLE BLVD S",2014,6232,34900,315085
99,SW ADMIRAL WAY,"SW ADMIRAL WAY, SE/O SW CITY VIEW ST",2014,21691,25000,315316
100,S LUCILE ST,"S LUCILE ST, E/O 4TH AVE S",2014,20693,11200,314181
101,DELRIDGE WAY SW,"DELRIDGE WAY SW, S/O SW ANDOVER ST",2014,9960,19200,315108
102,GREENWOOD AVE N,"GREENWOOD AVE N, S/O N 80TH ST",2014,10746,12200,315174
103,5TH AVE NE,"5TH AVE NE, N/O NE NORTHGATE WAY",2014,7256,13200,315960
104,20TH AVE W,"20TH AVE W, S/O W DRAVUS ST",2014,3090,6600,315978
105,10TH AVE E,"10TH AVE E, S/O E BOSTON ST",2014,1298,13300,315930
106,14TH AVE S,"14TH AVE S, N/O S DIRECTOR ST",2014,1960,10800,315059
107,N 130TH ST,"N 130TH ST, W/O LINDEN AVE N",2014,15160,23500,315184
108,N 85TH ST,"N 85TH ST, W/O LINDEN AVE N",2014,15954,25300,315201
109,N 50TH ST,"N 50TH ST, W/O FREMONT AVE N",2014,15641,11200,316398
110,S LANDER ST,"S LANDER ST, W/O 6TH AVE S",2014,20628,13500,315779
111,7TH AVE,"7TH AVE, SE/O PIKE ST",2014,8157,7700,316692
112,DELRIDGE WAY SW,"DELRIDGE WAY SW, N/O SW MYRTLE ST",2014,9976,16600,315104
113,UNIVERSITY BR,"UNIVERSITY BR, SW/O POINT A",2014,13189,28500,316280
114,NE 65TH ST,"NE 65TH ST, E/O 25TH AVE NE",2014,17278,15100,315970
115,12TH AVE S,"12TH AVE S, S/O S WELLER ST",2014,1656,17800,316852
116,FREMONT AVE N,"FREMONT AVE N, S/O N 46TH ST",2014,10498,9700,316442
117,E MADISON ST,"E MADISON ST, SW/O 38TH AVE E",2014,14372,13700,315952
118,24TH AVE NW,"24TH AVE NW, S/O NW 80TH ST",2014,3605,11100,316247
119,RAINIER AVE S,"RAINIER AVE S, SE/O M L KING JR WAY S",2014,12368,32500,315286
120,S LUCILE ST,"S LUCILE ST, W/O 12TH AVE S",2014,20699,9800,316409
121,8TH AVE S,"8TH AVE S, S/O S DIRECTOR ST",2014,8469,2000,313892
122,MERIDIAN AVE N,"MERIDIAN AVE N, S/O N 145TH ST",2014,11752,3800,316579
123,NE 75TH ST,"NE 75TH ST, W/O 30TH AVE NE",2014,17527,16600,315214
124,DENNY WAY,"DENNY WAY, W/O 2ND AVE",2014,10000,34100,315553
125,NE 75TH ST,"NE 75TH ST, E/O 12TH AVE NE",2014,17510,22000,315212
126,ELLIS AVE S,"ELLIS AVE S, S/O S WARSAW ST",2014,10230,8300,316491
127,E MADISON ST,"E MADISON ST, SW/O 17TH AVE",2014,14348,23500,315581
128,12TH AVE NE,"12TH AVE NE, S/O NE 75TH ST",2014,1589,8200,316468
129,LEARY WAY NW,"LEARY WAY NW, NW/O 3RD AVE NW",2014,11336,28600,315176
130,NE NORTHGATE WAY,"NE NORTHGATE WAY, W/O 15TH AVE NE",2014,18018,17400,315247
131,S HOLGATE BR,"S HOLGATE BR, E/O S HOLGATE ST",2014,20314,7400,313763
132,W DRAVUS ST,"W DRAVUS ST, E/O 20TH AVE W",2014,23222,20900,316478
133,EASTLAKE AVE E,"EASTLAKE AVE E, SW/O HARVARD AVE E",2014,10183,13900,315890
134,RAINIER AVE S,"RAINIER AVE S, N/O S ALASKA ST",2014,12383,27300,315992
135,SW BARTON ST,"SW BARTON ST, W/O 30TH AVE SW",2014,21848,12300,314745
136,24TH AVE E,"24TH AVE E, N/O E PROSPECT ST",2014,3543,21500,316564
137,31ST AVE S,"31ST AVE S, S/O S JACKSON ST",2014,4828,4800,313855
138,1ST AVE S,"1ST AVE S, N/O S KING ST",2014,1188,12000,316228
139,NW 80TH ST,"NW 80TH ST, W/O 15TH AVE NW",2014,18898,8100,314099
140,N 46TH ST,"N 46TH ST, W/O PHINNEY AVE N",2014,15557,23400,315193
141,N 80TH ST,"N 80TH ST, W/O LINDEN AVE N",2014,15893,14300,316723
142,N 105TH ST,"N 105TH ST, W/O EVANSTON W AVE N",2014,15012,15400,316471
143,15TH AVE NE,"15TH AVE NE, S/O NE 45TH ST",2014,2034,15100,315063
144,14TH AVE,"14TH AVE, N/O E YESLER WAY",2014,1840,13500,315934
145,LAKE WASHINGTON BLVD E,"LAKE WASHINGTON BLVD E, NW/O E MADISON ST",2014,11209,15600,315940
146,4TH AVE S,"4TH AVE S, N/O S DAWSON ST",2014,6252,21800,316682
147,NE 50TH ST,"N 50TH ST, W/O 1ST AVE NE",2014,15656,25700,315197
148,MERCER ST,,0,0,0,0
149,ALASKAN WY VI ACUCT,,0,0,0,0
150,AURORA AVE N,WSDOT data,0,8900,67000,0
151,WEST SEATTLE BR EB & WB,"WEST SEATTLE BR (EB&WB), W/O ALASKAN WY VI NB ON RP",2014,13330,107300,316321
152,BROAD ST,"BROAD ST, NE/O DENNY WAY",2014,9416,8100,315879
153,STEWART ST,"STEWART ST, NE/O 4TH AVE",2014,12900,9700,314482
154,WESTLAKE AVE,"WESTLAKE AVE, S/O DENNY WAY",2014,13531,6000,315928
155,E MADISON ST,"E MADISON ST, SW/O LAKE WASHINGTON BLVD E",2014,14364,16000,315950
156,35TH AVE SW,"35TH AVE SW, N/O SW ROXBURY ST",2014,5484,16300,315077
157,DENNY WAY,"DENNY WAY, E/O MINOR AVE",2014,158085,22700,316701
158,MONTLAKE BLVD NE,"MONTLAKE BLVD NE, N/O NE PACIFIC PL",2014,11911,48400,315964
159,DENNY WAY,"DENNY WAY, W/O 6TH AVE",2014,10007,29400,315126
160,NE 45TH ST,"NE 45TH ST, E/O 16TH AVE NE",2014,16854,24900,315914
161,MERCER ST,"MERCER ST, W/O FAIRVIEW AVE N",2014,11775,51700,316703
162,NE 45TH ST,"NE 45TH ST, W/O ROOSEVELT WAY NE",2014,16847,33300,315205
163,6TH AVE S,"6TH AVE S, S/O S FOREST ST",2014,7997,14200,315093
164,MONTLAKE BR,"MONTLAKE BR, S/O POINT A",2014,11902,57400,316704
165,STEWART ST RAMP,"STEWART ST (OFF&REV) RP, N/O STEWART ST",2014,489775,18600,316559
166,NICKERSON ST,"NICKERSON ST, NW/O FLORENTIA ST",2014,11970,19700,316454
167,GILMAN AVE W,"GILMAN AVE W, NW/O W EMERSON PL",2014,10638,12500,315980
168,2ND AVE,"2ND AVE, SE/O PIKE ST",2014,2757,15400,314752
169,RAINIER AVE S,"RAINIER AVE S, NW/O S MCCLELLAN ST",2014,12364,36600,315990
170,BOREN AVE,"BOREN AVE, SE/O PIKE ST",2014,9318,20400,315938
171,S JACKSON ST,"S JACKSON ST, W/O 23RD AVE S",2014,20501,11300,316505
172,N NORTHGATE WAY,"N NORTHGATE WAY, W/O ASHWORTH AVE N",2014,16114,19300,316590
173,NE PACIFIC ST,"NE PACIFIC ST, NE/O 2ND AVE NE",2014,18039,14500,315274
174,SEAVIEW AVE NW,"SEAVIEW AVE NW, N/O NW 67TH ST",2014,12762,3200,316276
175,NE 65TH ST,"NE 65TH ST, W/O 25TH AVE NE",2014,17277,15900,315968
176,WEST SEATTLE BR EB & WB,"WEST SEATTLE BR EB & WB, NE/O FAUNTLEROY WAY SW",2014,13333,52700,315858
177,BROAD ST,"BROAD ST, SW/O 3RD AVE",2014,9414,6600,315877
178,N 145TH ST,"N 145TH ST, W/O MERIDIAN AVE N",2014,15279,21100,316586
179,SW 106TH ST,"SW 106TH ST, W/O SEOLA BEACH DR SW",2014,21625,9300,316411
180,S COLUMBIAN WAY,"S COLUMBIAN EB&WB WAY, NW/O 14TH AVE S",2014,19710,39500,315292
181,DENNY WAY,"DENNY WAY, E/O WESTLAKE AVE",2014,10015,23400,316700
182,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O CROCKETT ST",2014,12312,12100,315599
183,12TH AVE E,"12TH AVE E, N/O E JOHN ST",2014,1551,8700,315932
184,M L KING JR WAY E,"M L KING JR WAY E, S/O E JOHN ST",2014,11495,9900,315944
185,S MICHIGAN ST,"S MICHIGAN ST, E/O 6TH AVE S",2014,20848,34600,315300
186,E YESLER WAY,"E YESLER WAY, W/O 23RD AVE",2014,14946,7500,315956
187,S OTHELLO ST,"S OTHELLO ST, E/O 43RD AVE S",2014,21055,7800,314416
188,11TH AVE NE,"11TH AVE NE, S/O NE 45TH ST",2014,1408,17100,314684
189,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, N/O NE 73RD ST",2014,12623,11700,316484
190,8TH AVE NW,"8TH AVE NW, S/O NW 80TH ST",2014,8406,14000,316258
191,1ST AVE NE,"1ST AVE NE, S/O NE 145TH ST",2014,1113,5100,313833
192,FAUNTLEROY FERRY DOCK,"SW BARTON ST, SW/O FAUNTLEROY WAY SW",2014,21861,5200,316415
193,S DEARBORN ST,"S DEARBORN ST, W/O 13TH AVE S",2014,19832,21700,315296
194,5TH AVE,"5TH AVE, SE/O PIKE ST",2014,7235,12700,315091
195,RAINIER AVE S,"RAINIER AVE S, SE/O BOREN AVE S",2014,12340,31700,316489
