Date,2nd Ave Cycletrack,NB,SB
01/01/2015 12:00:00 AM,3,0,3
01/01/2015 01:00:00 AM,9,0,9
01/01/2015 02:00:00 AM,2,0,2
01/01/2015 03:00:00 AM,0,0,0
01/01/2015 04:00:00 AM,0,0,0
01/01/2015 05:00:00 AM,0,0,0
01/01/2015 06:00:00 AM,2,1,1
01/01/2015 07:00:00 AM,4,1,3
01/01/2015 08:00:00 AM,2,0,2
01/01/2015 09:00:00 AM,5,0,5
01/01/2015 10:00:00 AM,6,2,4
01/01/2015 11:00:00 AM,8,4,4
01/01/2015 12:00:00 PM,2,0,2
01/01/2015 01:00:00 PM,10,5,5
01/01/2015 02:00:00 PM,10,4,6
01/01/2015 03:00:00 PM,10,6,4
01/01/2015 04:00:00 PM,12,6,6
01/01/2015 05:00:00 PM,4,1,3
01/01/2015 06:00:00 PM,2,1,1
01/01/2015 07:00:00 PM,4,0,4
01/01/2015 08:00:00 PM,0,0,0
01/01/2015 09:00:00 PM,2,0,2
01/01/2015 10:00:00 PM,1,0,1
01/01/2015 11:00:00 PM,2,1,1
01/02/2015 12:00:00 AM,1,1,0
01/02/2015 01:00:00 AM,1,1,0
01/02/2015 02:00:00 AM,5,5,0
01/02/2015 03:00:00 AM,0,0,0
01/02/2015 04:00:00 AM,3,3,0
01/02/2015 05:00:00 AM,2,0,2
01/02/2015 06:00:00 AM,14,7,7
01/02/2015 07:00:00 AM,16,6,10
01/02/2015 08:00:00 AM,31,9,22
01/02/2015 09:00:00 AM,21,6,15
01/02/2015 10:00:00 AM,18,5,13
01/02/2015 11:00:00 AM,15,4,11
01/02/2015 12:00:00 PM,14,6,8
01/02/2015 01:00:00 PM,20,2,18
01/02/2015 02:00:00 PM,16,10,6
01/02/2015 03:00:00 PM,30,7,23
01/02/2015 04:00:00 PM,35,13,22
01/02/2015 05:00:00 PM,43,15,28
01/02/2015 06:00:00 PM,14,7,7
01/02/2015 07:00:00 PM,6,2,4
01/02/2015 08:00:00 PM,3,1,2
01/02/2015 09:00:00 PM,0,0,0
01/02/2015 10:00:00 PM,6,3,3
01/02/2015 11:00:00 PM,3,1,2
01/03/2015 12:00:00 AM,4,0,4
01/03/2015 01:00:00 AM,3,3,0
01/03/2015 02:00:00 AM,2,2,0
01/03/2015 03:00:00 AM,0,0,0
01/03/2015 04:00:00 AM,1,0,1
01/03/2015 05:00:00 AM,1,0,1
01/03/2015 06:00:00 AM,1,0,1
01/03/2015 07:00:00 AM,6,3,3
01/03/2015 08:00:00 AM,5,0,5
01/03/2015 09:00:00 AM,5,2,3
01/03/2015 10:00:00 AM,12,3,9
01/03/2015 11:00:00 AM,10,1,9
01/03/2015 12:00:00 PM,12,2,10
01/03/2015 01:00:00 PM,15,8,7
01/03/2015 02:00:00 PM,18,9,9
01/03/2015 03:00:00 PM,10,5,5
01/03/2015 04:00:00 PM,13,6,7
01/03/2015 05:00:00 PM,11,1,10
01/03/2015 06:00:00 PM,8,3,5
01/03/2015 07:00:00 PM,5,1,4
01/03/2015 08:00:00 PM,7,2,5
01/03/2015 09:00:00 PM,8,1,7
01/03/2015 10:00:00 PM,8,3,5
01/03/2015 11:00:00 PM,2,1,1
01/04/2015 12:00:00 AM,2,0,2
01/04/2015 01:00:00 AM,1,0,1
01/04/2015 02:00:00 AM,1,0,1
01/04/2015 03:00:00 AM,1,0,1
01/04/2015 04:00:00 AM,1,0,1
01/04/2015 05:00:00 AM,1,1,0
01/04/2015 06:00:00 AM,3,1,2
01/04/2015 07:00:00 AM,2,0,2
01/04/2015 08:00:00 AM,3,1,2
01/04/2015 09:00:00 AM,5,3,2
01/04/2015 10:00:00 AM,3,2,1
01/04/2015 11:00:00 AM,1,1,0
01/04/2015 12:00:00 PM,9,3,6
01/04/2015 01:00:00 PM,10,0,10
01/04/2015 02:00:00 PM,8,2,6
01/04/2015 03:00:00 PM,3,1,2
01/04/2015 04:00:00 PM,7,5,2
01/04/2015 05:00:00 PM,25,14,11
01/04/2015 06:00:00 PM,2,0,2
01/04/2015 07:00:00 PM,2,1,1
01/04/2015 08:00:00 PM,1,0,1
01/04/2015 09:00:00 PM,7,3,4
01/04/2015 10:00:00 PM,5,2,3
01/04/2015 11:00:00 PM,0,0,0
01/05/2015 12:00:00 AM,1,1,0
01/05/2015 01:00:00 AM,0,0,0
01/05/2015 02:00:00 AM,1,0,1
01/05/2015 03:00:00 AM,1,1,0
01/05/2015 04:00:00 AM,0,0,0
01/05/2015 05:00:00 AM,9,5,4
01/05/2015 06:00:00 AM,21,10,11
01/05/2015 07:00:00 AM,33,15,18
01/05/2015 08:00:00 AM,68,19,49
01/05/2015 09:00:00 AM,37,14,23
01/05/2015 10:00:00 AM,17,4,13
01/05/2015 11:00:00 AM,14,6,8
01/05/2015 12:00:00 PM,20,8,12
01/05/2015 01:00:00 PM,18,7,11
01/05/2015 02:00:00 PM,15,5,10
01/05/2015 03:00:00 PM,32,9,23
01/05/2015 04:00:00 PM,50,11,39
01/05/2015 05:00:00 PM,93,29,64
01/05/2015 06:00:00 PM,43,12,31
01/05/2015 07:00:00 PM,17,5,12
01/05/2015 08:00:00 PM,9,1,8
01/05/2015 09:00:00 PM,6,0,6
01/05/2015 10:00:00 PM,1,0,1
01/05/2015 11:00:00 PM,1,1,0
01/06/2015 12:00:00 AM,5,4,1
01/06/2015 01:00:00 AM,1,1,0
01/06/2015 02:00:00 AM,0,0,0
01/06/2015 03:00:00 AM,2,1,1
01/06/2015 04:00:00 AM,2,2,0
01/06/2015 05:00:00 AM,10,2,8
01/06/2015 06:00:00 AM,38,17,21
01/06/2015 07:00:00 AM,53,21,32
01/06/2015 08:00:00 AM,102,29,73
01/06/2015 09:00:00 AM,62,23,39
01/06/2015 10:00:00 AM,34,6,28
01/06/2015 11:00:00 AM,26,11,15
01/06/2015 12:00:00 PM,15,8,7
01/06/2015 01:00:00 PM,39,19,20
01/06/2015 02:00:00 PM,31,12,19
01/06/2015 03:00:00 PM,35,13,22
01/06/2015 04:00:00 PM,80,17,63
01/06/2015 05:00:00 PM,99,33,66
01/06/2015 06:00:00 PM,68,31,37
01/06/2015 07:00:00 PM,24,8,16
01/06/2015 08:00:00 PM,10,6,4
01/06/2015 09:00:00 PM,11,3,8
01/06/2015 10:00:00 PM,4,1,3
01/06/2015 11:00:00 PM,8,1,7
01/07/2015 12:00:00 AM,0,0,0
01/07/2015 01:00:00 AM,3,0,3
01/07/2015 02:00:00 AM,0,0,0
01/07/2015 03:00:00 AM,0,0,0
01/07/2015 04:00:00 AM,1,0,1
01/07/2015 05:00:00 AM,6,3,3
01/07/2015 06:00:00 AM,38,17,21
01/07/2015 07:00:00 AM,53,19,34
01/07/2015 08:00:00 AM,108,31,77
01/07/2015 09:00:00 AM,66,21,45
01/07/2015 10:00:00 AM,39,12,27
01/07/2015 11:00:00 AM,29,13,16
01/07/2015 12:00:00 PM,32,11,21
01/07/2015 01:00:00 PM,24,8,16
01/07/2015 02:00:00 PM,27,10,17
01/07/2015 03:00:00 PM,43,12,31
01/07/2015 04:00:00 PM,74,22,52
01/07/2015 05:00:00 PM,134,50,84
01/07/2015 06:00:00 PM,61,20,41
01/07/2015 07:00:00 PM,18,9,9
01/07/2015 08:00:00 PM,10,4,6
01/07/2015 09:00:00 PM,4,1,3
01/07/2015 10:00:00 PM,2,0,2
01/07/2015 11:00:00 PM,3,0,3
01/08/2015 12:00:00 AM,4,0,4
01/08/2015 01:00:00 AM,2,0,2
01/08/2015 02:00:00 AM,1,1,0
01/08/2015 03:00:00 AM,1,0,1
01/08/2015 04:00:00 AM,1,1,0
01/08/2015 05:00:00 AM,7,1,6
01/08/2015 06:00:00 AM,30,11,19
01/08/2015 07:00:00 AM,46,11,35
01/08/2015 08:00:00 AM,103,34,69
01/08/2015 09:00:00 AM,68,19,49
01/08/2015 10:00:00 AM,39,16,23
01/08/2015 11:00:00 AM,37,8,29
01/08/2015 12:00:00 PM,24,5,19
01/08/2015 01:00:00 PM,30,11,19
01/08/2015 02:00:00 PM,24,11,13
01/08/2015 03:00:00 PM,37,12,25
01/08/2015 04:00:00 PM,66,21,45
01/08/2015 05:00:00 PM,113,30,83
01/08/2015 06:00:00 PM,63,26,37
01/08/2015 07:00:00 PM,27,11,16
01/08/2015 08:00:00 PM,12,7,5
01/08/2015 09:00:00 PM,3,1,2
01/08/2015 10:00:00 PM,6,1,5
01/08/2015 11:00:00 PM,4,1,3
